Month;Year;Customer_Age;Age_Group;Age_Group_NUMBER;Customer_Gender;Country;Product_Category;Order_Quantity;Unit_Cost;Unit_Price;Profit;Cost;Revenue
January;2017;17;Youth (<25);1;M;canada;Bikes;2;1519.00;2443.00;1848.00;3038.00;4886.00
January;2017;23;Youth (<25);1;M;Australia;Bikes;2;1252.00;2295.00;2086.00;2504.00;4590.00
January;2017;33;Young Adults (25-34);1;F;France;Bikes;2;2171.00;3578.00;2814.00;4342.00;7156.00
January;2017;39;Adults (35-64);1;M;United States;Bikes;2;713.00;1120.00;814.00;1426.00;2240.00
January;2017;42;Adults (35-64);1;M;United States;Bikes;2;344.00;540.00;392.00;688.00;1080.00
January;2017;32;Young Adults (25-34);1;M;United Kingdom;Bikes;2;713.00;1120.00;814.00;1426.00;2240.00
January;2017;35;Adults (35-64);1;F;United States;Bikes;2;713.00;1120.00;814.00;1426.00;2240.00
January;2017;40;Adults (35-64);1;M;Australia;Bikes;2;713.00;1120.00;814.00;1426.00;2240.00
January;2017;41;Adults (35-64);1;F;Australia;Bikes;2;1555.00;2443.00;1776.00;3110.00;4886.00
January;2017;28;Young Adults (25-34);1;M;United Kingdom;Bikes;2;1252.00;2295.00;2086.00;2504.00;4590.00
January;2017;29;Young Adults (25-34);1;F;United States;Bikes;2;1266.00;2320.00;2108.00;2532.00;4640.00
January;2017;38;Adults (35-64);1;M;United Kingdom;Bikes;2;1266.00;2320.00;2108.00;2532.00;4640.00
January;2017;39;Adults (35-64);1;F;United States;Bikes;2;2171.00;3578.00;2814.00;4342.00;7156.00
January;2017;42;Adults (35-64);1;F;Australia;Bikes;2;344.00;540.00;392.00;688.00;1080.00
January;2017;45;Adults (35-64);1;F;Australia;Bikes;2;344.00;540.00;392.00;688.00;1080.00
January;2017;45;Adults (35-64);1;M;canada;Bikes;2;344.00;540.00;392.00;688.00;1080.00
January;2017;47;Adults (35-64);1;M;Australia;Bikes;2;713.00;1120.00;814.00;1426.00;2240.00
January;2017;28;Young Adults (25-34);1;M;United Kingdom;Bikes;2;1252.00;2295.00;2086.00;2504.00;4590.00
January;2017;33;Young Adults (25-34);1;F;France;Bikes;2;2171.00;3578.00;2814.00;4342.00;7156.00
January;2017;36;Adults (35-64);1;F;United States;Bikes;2;487.00;783.00;592.00;974.00;1566.00
January;2017;38;Adults (35-64);1;F;United States;Bikes;2;2171.00;3578.00;2814.00;4342.00;7156.00
January;2017;39;Adults (35-64);1;M;United States;Bikes;2;713.00;1120.00;814.00;1426.00;2240.00
January;2017;27;Young Adults (25-34);1;M;Germany;Bikes;2;1083.00;1701.00;1236.00;2166.00;3402.00
January;2017;37;Adults (35-64);1;M;United States;Bikes;2;487.00;783.00;592.00;974.00;1566.00
January;2017;51;Adults (35-64);1;M;canada;Bikes;2;487.00;783.00;592.00;974.00;1566.00
January;2017;19;Youth (<25);1;F;canada;Bikes;2;2171.00;3578.00;2814.00;4342.00;7156.00
January;2017;26;Young Adults (25-34);1;F;canada;Bikes;2;295.00;540.00;490.00;590.00;1080.00
January;2017;34;Young Adults (25-34);1;M;United States;Bikes;2;344.00;540.00;392.00;688.00;1080.00
January;2017;35;Adults (35-64);1;F;United States;Bikes;2;713.00;1120.00;814.00;1426.00;2240.00
January;2017;44;Adults (35-64);1;F;United States;Bikes;2;2171.00;3578.00;2814.00;4342.00;7156.00
January;2017;48;Adults (35-64);1;M;canada;Bikes;2;344.00;540.00;392.00;688.00;1080.00
January;2017;18;Youth (<25);1;F;Australia;Bikes;2;344.00;540.00;392.00;688.00;1080.00
January;2017;28;Young Adults (25-34);1;M;Australia;Bikes;2;1083.00;1701.00;1236.00;2166.00;3402.00
January;2017;31;Young Adults (25-34);1;M;United Kingdom;Bikes;2;1083.00;1701.00;1236.00;2166.00;3402.00
January;2017;41;Adults (35-64);1;F;United Kingdom;Bikes;2;713.00;1120.00;814.00;1426.00;2240.00
January;2017;27;Young Adults (25-34);1;F;Australia;Bikes;2;1252.00;2295.00;2086.00;2504.00;4590.00
January;2017;31;Young Adults (25-34);1;F;United States;Bikes;2;2171.00;3578.00;2814.00;4342.00;7156.00
January;2017;34;Young Adults (25-34);1;F;United States;Bikes;2;1252.00;2295.00;2086.00;2504.00;4590.00
January;2017;34;Young Adults (25-34);1;M;Australia;Bikes;2;1083.00;1701.00;1236.00;2166.00;3402.00
January;2017;35;Adults (35-64);1;F;United States;Bikes;2;713.00;1120.00;814.00;1426.00;2240.00
January;2017;35;Adults (35-64);1;M;United States;Bikes;2;2171.00;3578.00;2814.00;4342.00;7156.00
January;2017;39;Adults (35-64);1;M;Australia;Bikes;2;1083.00;1701.00;1236.00;2166.00;3402.00
January;2017;40;Adults (35-64);1;M;United States;Bikes;2;487.00;783.00;592.00;974.00;1566.00
January;2017;17;Youth (<25);1;F;canada;Bikes;2;1083.00;1701.00;1236.00;2166.00;3402.00
January;2017;28;Young Adults (25-34);1;M;Australia;Bikes;2;1083.00;1701.00;1236.00;2166.00;3402.00
January;2017;30;Young Adults (25-34);1;F;Australia;Bikes;2;1555.00;2443.00;1776.00;3110.00;4886.00
January;2017;34;Young Adults (25-34);1;M;United States;Bikes;2;2171.00;3578.00;2814.00;4342.00;7156.00
